Date,Open,High,Low,Close,Adj Close,Volume
2024-01-26,404.369995,406.170013,402.429993,403.929993,403.184418,17803300
2024-01-29,406.059998,409.980011,404.329987,409.720001,408.963715,24510200
2024-01-30,412.260010,413.049988,406.450012,408.589996,407.835815,33477600
2024-01-31,406.959991,415.320007,397.209991,397.579987,396.846130,47871100
2024-02-01,401.829987,408.000000,401.799988,403.779999,403.034698,30657700
2024-02-02,403.809998,412.649994,403.559998,411.220001,410.460968,28245000
2024-02-05,409.899994,411.160004,403.989990,405.649994,404.901245,25352300
2024-02-06,405.880005,407.970001,402.910004,405.489990,404.741516,18382600
2024-02-07,407.440002,414.299988,407.399994,414.049988,413.285706,22340500
2024-02-08,414.049988,415.559998,412.529999,414.109985,413.345612,21225300
2024-02-09,415.250000,420.820007,415.089996,420.549988,419.773712,22032800
2024-02-12,420.559998,420.739990,414.750000,415.260010,414.493500,21202900
2024-02-13,404.940002,410.070007,403.390015,406.320007,405.570007,27824900
2024-02-14,408.070007,409.839996,404.570007,409.489990,409.489990,20401200
2024-02-15,408.140015,409.130005,404.290009,406.559998,406.559998,21825500
2024-02-16,407.959991,408.290009,403.440002,404.059998,404.059998,22281100
2024-02-20,403.239990,404.489990,398.010010,402.790009,402.790009,24307900
2024-02-21,400.170013,402.290009,397.220001,402.179993,402.179993,18631100
2024-02-22,410.190002,412.829987,408.570007,411.649994,411.649994,27009900
2024-02-23,415.670013,415.859985,408.970001,410.339996,410.339996,16284800
2024-02-26,411.459991,412.160004,407.359985,407.540009,407.540009,15935200
